\lx,\ps,\gm,\ge,\cf,\rt,\sy,\sy,\z_manual_check
Kinoringan,n,Allah,God,,,Tuan Allah,,
Tuan Allah,n,Allah,God,,,Kinoringan,,
mosigit,n,mesjid,mosque,,,monsigit,,
monsigit,n,mesjid,mosque,,,mosigit,,
imam,n,imam,priest,,,,,
sumamba,,bersembahyang,to worship,samba,,,,
kosumbayangan,n,salat,five daily prayers,sumbayang,,,,
haji,n,haji,pilgrim to Mecca,,,,,
naik haji / mongoi aji,,naik haji,to make the pilgrimage,aji,,,,CHECK_LX
umat,n,umat,congregation,,,,,
sadaka,n,zakat,alms,,,,,
fakir,n,fakir,ascetic,,,,,
kapir,n,kafir,infidel / non-believer,,,,,
puasa,,berpuasa,to fast,,,,,
mangaji,,mengaji,to recite the Koran,,,,,
Kuruan,n,Quran,Koran,,,,,
baloi sawat,n,menara,minaret,,,,,
limo ponusuban nu Silam,n,lima rukun Islam,five pillars of Islam,susub,,,,
nabi,n,nabi,prophet,,,,,
ikam sambayang,n,tikar sembahyang,prayer mat,,,,,
kinoringan,n,dewa,"god, deity",,,,,
ombiriwo,n,roh,spirit,,,koduduo,,
koduduo,n,roh,spirit,,,ombiriwo,,
mosundu,n,seher / sihir,"magic, supernatural",sundu,,,,
rogon,n,"hantu, suangi","ghost, malevolent spirit",,,,,
koduduo nu komotutuaan,n,arwah nenek moyang,spirit of ancestors,tuo,,,,
mamara' nasip,,meramal,to tell a fortune,wara',,,,
nasip,n,nasib,fate,,,,,
mamara nujum,,"bernubuat, menujumkan",to prophesy,wara,,,,
giin,n,jin,"demon, djinn",,,,,
saitan,n,"syaitan, setan","satan, devil",,,,,
puntianak,n,"pontianak, kuntianak",female vampire ghost,,,tutuk andu',,
tutuk andu',n,"pontianak, kuntianak",female vampire ghost,,,puntianak,,
do sampaping,n,alam baka,"the hereafter, underworld",,,,,
nosuang,n,"kerasukan, kesurupan",possessed by a spirit,suang,,sinuang,,
sinuang,n,"kerasukan, kesurupan",possessed by a spirit,suang,,nosuang,,
naga,n,naga,dragon,,,,,
ombiriwo nu naatoi,n,roh orang mati,spirit of dead person,,,,,
sumamba,,memuja,to worship (spirits),samba,,,,
monyumpah,n,kutuk,curse,,,,,
monanung,,mempesonakan,to bewitch,,,,,
monaru,,mengutuk,to curse,taru,,,,
pogingaan,n,"tabu, larangan",taboo,inga,,,,
kamayan,n,"dupa, kemenyan",incense,,,,,
moguub do kamayan,,membakar dupa,to burn incense,uub,,,,
popotaak,,mengorbankan,to sacrifice,taak,,,,
mamanawar,n,dukun,"shaman, healer",tawar,,,,
monompakai do rogon,n,tukang sihir,sorcerer,pakai,,,,
pugai,n,guna-guna,love charm / spell,,,,,
gimat,n,azimat,"talisman, amulet",,,,,
ponyinyilap,n,mantera,magic formula / incantation,silap,,,,
inanak-anak,n,patung,"statue, wooden doll",anak,,,,
baloi topikung,n,kuil,temple,,,,,
topikung,n,berhala,idol,,,,,
kuasa' mosundu,n,kuasa / daya ghaib,magical powers,,,,,
sakti,n,sakti,sacred / mystical power,,,,,
maraat,n,jahat,evil,raat,,,,
popoidu' do rogon,,mengusir setan,to exorcise,,,,,
binsana,n,bencana,disaster,,,,,
balagu',,menyanyi,to sing,lagu',,lumagu',,
lumagu',,menyanyi,to sing,lagu',,balagu',,
lagu',n,nyanyian,song,,,,,
lagu' do pombubua,n,ninabobok,lullaby,,,,,
pamainan,n,music,music,main,,,,
molulan,n,merdu,melodious,lulan,,,,
lulumagu',n,penyanyi,singer,lagu',,,,
momogandang,,memukul (gong/gendang),to beat (drum/gong),gandang,,,,
pakakas do balagu',n,alat muzik,musical instrument,,,,,
soruling,n,"bangsi, suling",flute,,,,,
soruling,n,salung,short flute,,,,,
gandang monini',n,tifa,small drum,,,,,
gandang,n,genderang,big drum,,,,,
manyampui,,meniup,to blow (flute),sampui,,,,
gambus basampui' bungkau,n,kecapi mulut,jew's harp,,,,,
torumpit,n,peluit,whistle,,,,,
libag,n,lagu,"tune, song",,,,,
bamain,,memainkan,to play (instrument),main,,,,
dolou,n,suara,voice,,,,,
tinimungan nu lulumagu',n,"pasukan penyanyi, choir",choir,,"timung, lagu'",,,
tinimungan nu ulun mapapandai bamain,n,orkes,orchestra,timung,,,,
sayau,n,tarian,dance,,,,,
sumayau,,menari,to dance,sayau,,,,
susumayau,n,penari,dancer,sayau,,,,
laang sayau,n,langkah tarian,dance step,laang,,,,
sayau migapus,n,dansa,western-style / ballroom dance,,,,,
bubua',n,irama,rhythm,,,,,
mangampas,,mengiringi,to accompany (music/dance),ampas,,,,
wayang,n,"drama, sandiwara",drama / theatre,,,,,
pomain wayang,n,"pemain, pelaku","actor, actress",main,,,,
babamain do wayang,n,para pelaku,cast,main,,,,
mamalukis,,"menggambar, melukis","to draw, paint",lukis,,,,
karatas,n,kertas,paper (drawing paper),,,,,
lukisan,n,"lukisan, gambar",picture (drawing/painting),lukis,,,,
lukisan do ulun,n,lukisan orang,portrait,lukis,,,,
saat,n,cat,paint,,,,,
saat sawir / timug,n,cat air,water color,,,,,CHECK_LX
saat umau,n,cat minyak,oil paint,umau,,,,
tukang molukis,n,"seni, kesenian",art,,,,,
mapapandai lumukis,n,seniman,artist (general),,"pandai, lukis",,,
polukis,n,pelukis,artist (drawing and painting),,,,,
dawat,n,dakwat,ink,,,,,
mamalan,,mencoret,to sketch,palan,,,,
gambar,n,gambar,photograph,,,,,
momogambar,,bergambar,to take a photograph,gambar,,,,
kuda-kuda,n,kuda-kuda,easel,,,,,
muta',n,kanvas,canvas,,,,,
barus saat,n,kuas,paintbrush,,,,,
papan saat,n,papan cat,palette,,,,,
popotalang,,mengambil sikap,to pose,talang,,,,
warana',n,warna,color,,,,,
momali,,membeli,to buy,bali,,,,
badagang,,menjual,to sell,dagang,,popadagang,,
popadagang,,menjual,to sell,dagang,,badagang,,
manang sanganu,,memiliki,"to possess, own",,,,,
mogolon,,bertukar,"to trade, exchange",olon,,popiolon,,
popiolon,,bertukar,"to trade, exchange",olon,,mogolon,,
usin,n,wang,money,,,duit,wang,
duit,n,wang,money,,,usin,wang,
wang,n,wang,money,,,usin,duit,
pasar,n,pasar,market,,,,,
mambayar,,membayar,to pay,bayar,,,,
monunsung,n,"wang kembali, wang kecil",small change,sunsung,,,,
morogo,,mahal,expensive,rogo,,,,
mura,,murah,cheap,,,,,
manawar,,menawar,to bargain,tawar,,,,
putungan,n,"pengurangan, potongan",discount,putung,,pongurang,,
pongurang,n,"pengurangan, potongan",discount,kurang,,putungan,,
rogo,n,harga,price,,,,,
poponaik do rogo,,menaikkan harga,to raise the price,naik,,,,
popotuun do rogo,,menurunkan harga,to lower the price,tuun,,,,
rogo pointatap,n,harga mati,fixed price,tatap,,harga mati,,
harga mati,n,harga mati,fixed price,,,rogo pointatap,,
adil,n,adil,"fair, just",,,,,
monipu,,menipu,to cheat,tipu,,mompoduung,,
mompoduung,,menipu,to cheat,duung,,monipu,,
wang tunai,n,"tunai, kontan",cash,,,,,
monunsung,,mengembalikan baki wang,to change (money),sunsung,,,,
sunsung,n,wang baki,change (noun),sunsung,,,,
momoduung,n,menipu,cheating,,"duung, buyuk",,,
mombuyuk,,memperdaya,to cheat,,,,,
unut,n,wang kertas,paper money,,,,,
usin tambaga',n,wang logam,coin,,,usin pisa,,
usin pisa,n,wang logam,coin,,,usin tambaga',,
kumpani,n,perusahaan,company,,,,,
saudagar,n,pedagang,"trader, merchant",,,poniaga',,
poniaga',n,pedagang,"trader, merchant",,,saudagar,,
barang padagangon,n,barang dagangan,goods for sale,dagang,,,,
ejen,n,ejen,agent,,,,,
pajak,n,"cukai, pajak",tax,,,,,
jaminan,n,jaminan,guarantee,jamin,,,,
nolaku ngoi',n,habis terjual,sold out,laku,,,,
dagangon,n,terbeli / untuk dijual,for sale,dagang,,,,
kountungan,n,"laba, untung",profit,untung,,untung,,
untung,n,"laba, untung",profit,untung,,kountungan,,
korugian,n,rugi,loss,rugi',,,,
utang,n,hutang,debt,utang,,,,
mogutang,,berhutang,to owe,utang,,,,
nabayaran,n,lunas,paid / settled,bayar,,,,
beng,n,bank,bank,,,,,
mogolos,,meminjam,to borrow,olos,,,,
inalasan,n,pinjaman,loan,olos,,,,
manaak,,memberi,to give,taak,,,,
mopoolos,,beri pinjam,to lend,olos,,,,
magalap,,mengambil,to take,alap,,,,
makaya,,kaya,rich,kaya,,,,
makaya banar,,kaya-raya,very rich,kaya,,,,
misikin,,miskin,poor,,,,,
talampau misikin,n,"melarat, miskin papa",destitute,,,,,
nokurangan,,kekurangan,to lack,kurang,,,,
utang,n,hutang,debt,,,,,
mantagi,,menagih,to demand payment,tagi,,,,
mambayar do utang,,membayar hutang,to repay a debt,bayar,,,,
nabayaran,n,lunas,paid,bayar,,,,
danda',n,denda,fine,,,,,
mogolos,,meminjam,to borrow,olos,,,,
mokoanu,,mampu,to afford,anu,,,,
kakayaan,n,harta benda,riches / wealth,kaya,,,,
makaya,n,berada / berkecukupan,well-to-do,kaya,,,,
pompurutan do usin,n,"yuran, kutipan","dues, collection",purut,,,,
sangsara',n,sengsara,suffering,,,najara',,
najara',n,sengsara,suffering,jara',,sangsara',,
rata',n,milik,property (general),,,,,
waris / rata' do tana,n,tanah milik,property (land),,,,,CHECK_LX
mokisadaka,,mengemis,to beg,sadaka,,,,
mokisasadaka,n,pengemis,beggar,sadaka,,,,
mamakai,,memakai,to wear,pakai,,,,
manampakayan,,berpakaian,to dress,pakai,,,,
mongidu' do pakayan,,membuka pakaian,to undress,idu',,,,
sosolinon,n,pakaian,clothing,salin,,,,
kamija,n,kemeja,shirt,,,,,
sira' gata,n,baju kaus,T-shirt,,,,,
saluar,n,celana,trousers,,,,,
santut,n,cawat,loincloth,,,,,
kain sarung,n,sarung,sarong,,,,,
kuun,n,sket,skirt,,,,,
larut,n,"tali pinggang, ikat pinggang",belt,,,,,
salipar,n,sandal,sandals,,,,,
kasut,n,kasut,shoes,,,,,
sirung,n,topi,hat,,,,,
konoon,n,kain,cloth,,,,,
kumut,n,selimut,blanket,,,,,
bidang,n,"kain cadar, seperai",sheet,,,,,
toiron,n,kelambu,mosquito net,,,,,
amas-amasan,n,barang perhiasan,jewelry,,,,,
sapit,n,penjepit rambut,"hairpin, hair clip",,,titimbok,,
titimbok,n,penjepit rambut,"hairpin, hair clip",,,sapit,,
simbong,n,anting-anting,earring,,,,,
susulung,n,cincin,ring,,,,,
bantuk,n,gelang,bracelet,,,,,
ganggalung,n,"kalung, rantai leher",necklace,,,,,
sigar,n,"ikat kepala, destar",headband,,,,,
pakaian sakot,n,pakaian rumput,grass skirt,,,,,
sosolinon intad do kulit tataun,n,pakaian dari kulit kayu,bark clothes,,,,,
sulindang,n,selendang,scarf,,,,,
saputangan,n,saputangan,handkerchief,,,,,
nurok,n,manik-manik,beads,,,banging,,
banging,n,manik-manik,beads,,,nurok,,
lamping,n,"popok, lampin",diaper,,,,,
sira',n,baju,"dress, clothing",,,,,
baju dalam,n,baju dalam,underwear,,,,,
sitokin,n,"sarung kaki, stokin","stockings, socks",,,,,
ogot longon,n,ban lengan,armband,longon,,,,
sarung tangan,n,sarung tangan,gloves,tangan,,,,
sira' modop,n,pijama,pajamas,modop,,,,
nitai,n,"tali leher, dasi, nektai",necktie,,,,,
baju kot,n,"baju kot, jas","coat, jacket",,,sira kot,,
sira kot,n,"baju kot, jas","coat, jacket",,,baju kot,,
payung,n,payung,umbrella,,,,,
binaloi-baloi,n,"bangunan, gedung",building,baloi,,,,
baloi,n,rumah,house,,,,,
sulap,n,pondok,"hut, cottage",,,,,
bolumbung,n,gubuk,shed,,,,,
angkob,n,lumbung,rice barn,,,,,
gudang,n,gudang,storehouse,,,,,
siling,n,siling,ceiling,,,,,
taap,n,atap,roof,,,,,
taap sakot,n,atap lalang,thatch roof,,,,,
kasau,n,kasau,rafter,,,,,
genteng,n,genting,tile,,,,,
taap genting,n,atap genting,tiled roof,,,,,
pisuk,n,sudut,corner,,,,,
dinding,n,dinding,wall,,,,,
susuonon,n,pintu,door,,,,,
kunsi',n,kunci,key,,,,,
kunsi' gantung,n,ibu kunci,lock,,,,,
jandila',n,jendela,window,,,,,
jandila' saramin,n,kaca jendela,window pane,,,,,
sulig,n,lantai,floor,,,,,
tindusan,n,bumbung,roof (ridge),,,,,
rigi,n,"tiang, tonggak",post,,,,,
tukad,n,tangga,"ladder, stairs",,,,,
pagar,n,pagar,fence,,,,,
bilik,n,bilik,room,,,,,
lamin,n,bilik tidur,bedroom,,,bilik adapan,,
bilik adapan,n,bilik tidur,bedroom,,,lamin,,
dapuan,n,dapur,kitchen,,,,,
jamban,n,"jamban, tandas",toilet,,,,,
bilik pimpajuan,n,bilik mandi,bathroom,paju,,,,
bilik akanan,n,bilik makan,dining room,akan,,,,
lintuun,n,bilik tamu,living room,,,,,
pantatauan do barang makanan,n,sepen,pantry,tau',,,,
natad,n,"halaman, pekarangan",yard,,,,,
simin,n,simen,cement,,,,,
bata,n,batu bata,brick,,,,,
dinding batu,n,tembok,masonry wall,,,tembok,,
tembok,n,tembok,masonry wall,,,dinding batu,,
andibung,n,nibung,black palm (flooring),,,,,
pantaran,n,"beranda, kaki lima","veranda, porch",,,kaki lima,,
kaki lima,n,"beranda, kaki lima","veranda, porch",,,pantaran,,
torobong,n,"perigi, telaga, sumur",well,,,,,
pansuran,n,talang,gutter,,,,,
mija',n,meja,table,,,,,
mija' akanan,n,meja makan,dining table,,,,,
kurisi',n,kerusi,chair,,,,,
bangku,n,bangku,bench,,,,,
pangku,n,dipan,sofa / couch,,,,,
adadapan,n,tempat tidur,bed,odop,,,,
indangan,n,tempat tidur bayi,crib / hammock cradle,,,,,
bantal,n,bantal,pillow,,,,,
tilam,n,tilam,mattress,,,,,
bantal paluk,n,bantal peluk,bolster / "Dutch wife",,,,,
lamari' konoon,n,almari pakaian,clothes closet,,,,,
sasalaan,n,rak,shelf,,,,,
kikiop,n,kipas angin,fan,kiop,,,,
tuung pimpajuan,n,bak mandi,bathtub,paju,,,,
kosusukupan baloi,n,perabot,furniture,sukup,,,,
palita',n,lampu,lamp,,,lampung,,
lampung,n,lampu,lamp,,,palita',,
taming palita',n,kap lampu,lampshade,,,,,
lampit,n,permadani,carpet / rug,,,,,
mija' panulisan,n,meja tulis,desk,tulis,,,,
lamari' buuk,n,lemari buku,bookcase,,,,,
pansuran timug,n,"kepala paip, kran",water faucet,,,,,
palita' mija,n,lampu meja,table lamp,,,,,
baab lampung,n,bal lampu,lightbulb,,,,,
tabir jandila',n,tirai jendela,window curtain,,,,,
tabir,n,tabir,curtain / partition,,,,,
gambar,n,gambar,picture / frame,,,,,
pombobougan,n,bak cuci piring,kitchen sink,boug,,,,
gayung,n,gayung,dipper,,,,,
lasi',n,laci,drawer,,,,,
saramin,n,cermin,mirror,,,,,
kaban poposarui,n,peti ais,refrigerator,,"kaban, sarui",,,
injin ponombir,n,mesin jahit,sewing machine,tambir,,,,
jaam dinding,n,jam,clock,,,,,
sitoob,n,"dapur (alat), relung",stove,,,,,
susuangan do polupuk,n,asbak,ashtray,,"suang, polupuk",,,
susuangan do sasaap,n,keranjang sampah,wastepaper basket,,"suang, sasaap",,,
timba,n,"baldi, timba",bucket,,,,,
kakapu,n,sapu,broom,kapu,,,,
moguntob,,berhitung,to count,untob,,,,
saparu,,setengah,half,,,mointanga',,
mointanga',,setengah,half,intanga',,saparu,,
koiso,n,kosong,"zero, empty, none, nil, null",,,kusung,,
kusung,n,kosong,"zero, empty, none, nil, null",,,koiso,,
iso,n,satu,one,,,,,
duo,n,dua,two,,,,,
talu,n,tiga,three,,,,,
apat,n,empat,four,,,,,
limo,n,lima,five,,,,,
onom,n,enam,six,,,,,
turu,n,tujuh,seven,,,,,
balu',n,lapan,eight,,,,,
siam,n,sembilan,nine,,,,,
opod,n,sepuluh,ten,,,,,
opod om miso,n,sebelas,eleven,,,sabalas,,
sabalas,n,sebelas,eleven,,,opod om miso,,
opod om duo,n,dua belas,twelve,,,duabalas,,
duabalas,n,dua belas,twelve,,,opod om duo,,
duo ngopod,n,dua puluh,twenty,,,,,
duo ngopod om iso,n,dua puluh satu,twenty-one,,,,,
saratus,n,seratus,one hundred,ratus,,,,
saribu,n,seribu,one thousand,ribu,,,,
opod ngoribu,n,sepuluh ribu,ten thousand,ribu,,,,
mogumu',n,banyak,"many, much",gumu',,,,
mogumu' banar,,sangat banyak,very much / many,gumu',,,,
kokuri',n,sedikit,a little,kuri',,,,
sosongkuo,n,beberapa,few,songkuo,,,,
songkuo gumu',n,berapa (banyak),how many,songkuo,,,,
rata-rata',n,rata-rata,on an average,rata',,,,
kira-kira',n,kira-kira,approximately,kira',,,,
sukup-sukup,n,sedang,"average, moderate",sukup,,,,
labi,n,kelebihan,surplus,,,,,
kurang,n,kekurangan,deficit,,,,,
ko'iso (ko'iso?),,pertama,first,iso,,,,CHECK_LX
koduo,n,kedua,second,duo,,,,
kotalu,n,ketiga,third,talu,,,,
kaapat,n,keempat,fourth,apat,,,,
kolimo,n,kelima,fifth,limo,,,,
koonom,n,keenam,sixth,onom,,,,
koturu,n,ketujuh,seventh,turu,,,,
kobalu,n,kelapan,eighth,balu,,,,
kosiam,n,kesembilan,ninth,siam,,,,
koopod,n,kesepuluh,tenth,opod,,,,
koduo ngopod om iso,n,kedua puluh satu,twenty-first,,"opod, iso",,,
moguntob,,menghitung,"to count, calculate",untob,,mongira-ngira',,
mongira-ngira',,menghitung,"to count, calculate",kira',,moguntob,,
momoruang,,menjumlahkan,to add,ruang,,,,
mongingkurang,,mengurangi,to subtract,kurang,,,,
momaagi,,membahagi,to divide,baagi,,,,
mopokali-kali',,mengalikan,to multiply,kali',,,,
poguot,n,soal,problem (math),uot,,,,
numbur,n,"angka, nombor",number,,,,,
topod,n,sisa,remainder,,,,,
jumla,n,jumlah,total,,,,,
numbur mati,n,bilangan genap,even number,,,,,
numbur hidup,n,bilangan ganjil,odd number,,,,,
popoiad,,memperbandingkan,to compare,iad,,,,
babakan,n,pecahan,fraction,babak,,,,
sosuku',n,seperempat,one-fourth,suku,,,,
satanga',n,"separuh, setengah",one-half,tanga',,saparu,,
saparu,n,"separuh, setengah",one-half,paru,,satanga',,
monyukat,,mengukur,to measure,sukat,,,,
sukatan,n,ukuran,measurement,sukat,,,,
sarangau,n,jengkal,handspan,rangau,,,,
sonsudu',n,sesenduk,spoonful,sudu',,,,
soropo,n,depa,armspan,ropo,,,,
meter,n,meter,meter,,,,,
kilometer,n,kilometer,kilometer,,,,,
batu,n,batu,mile,,,,,
songonggom,n,segenggam,handful,gonggom,,,,
supak,n,liter,liter (traditional unit),,,,,
paun,n,paun,pound,,,,,
kilogram,n,kilogram,kilogram,,,,,
hasta,n,hasta,cubit (elbow to fingertip),,,,,
kaki,n,kaki,foot (measurement),,,,,
magayo,,besar,big,gayo,,,,
monini,,kecil,small,nini,,,,
moluas,,lebar,wide,luas,,,,
kikoluasan,n,luas,spacious / area,luas,,,,
masampit,,sempit,narrow,sampit,,,,
madalom,,dalam,deep,dalom,,,,
maribau,,dangkal,shallow,ribau,,,,
modibo',,pendek,short,dibo',,,,
magawad,,panjang,long,gawad,,,,
majangkou,,tinggi,tall,jangkou,,,,
monipis,n,"tipis, nipis",thin (object),nipis,,,,
makapal,,tebal,thick,kapal,,,,
motukal,n,kurus,thin (person),tukal,,,,
molombon,n,gemuk,fat (person),lombon,,,,
molingkis,n,"langsing, ramping",slim,lingkis,,,,
maagat,,berat,heavy,agat,,,,
magaan,,ringan,light,gaan,,,,
timbangan,n,timbangan,scales,timbang,,,,
magalud,,jauh,far,galud,,,,
magaad,,dekat,near,gaad,,,,
mosikap,,cepat,fast,sikap,,,,
molidut,,lambat,slow,lidut,,,,
malasu',,panas,hot,lasu',,,,
masarui,,"sejuk, dingin",cold,sarui,,,,
pogilayan do linasu',n,termometer,thermometer,,"ilai', lasu'",,,
daraja',n,darjah,degree,,,,,
moijau,n,laju,fast (speed),ijau,,,,
mougui,n,lambat,slow (speed),ugui,,,,
motulid,,lurus,straight,tulid,,,,
liku,n,lengkung,curve,,,,,
kiliku,,melengkung,curved,liku,,,,
nokilong,n,bengkok,"crooked, bent",kilong,,nolingkuk,,
nolingkuk,n,bengkok,"crooked, bent",lingkuk,,nokilong,,
likouan,n,bulatan,circle,likou,,,,
poimbulat,,bulat,round,bulat,,poimbulugu',,
poimbulugu',,bulat,round,bulugu',,poimbulat,,
poimpasagi',n,segi empat sama,square,pasagi',,,,
poimpasagi' apat,n,segi empat tepat,rectangle,pasagi',,,,
jurung,n,segi tiga,triangle,,,sagi' talu,,
sagi' talu,n,segi tiga,triangle,sagi',,jurung,,
mamantai,n,selari,parallel,pantai,,,,
poimbujur,n,bujur,oval,bujur,,,,
pointiduku,n,kon,cone,tiduku,,,,
kurudot,n,berbentuk kon,conical,kurudot,,,,
poilikou,n,bergelung,coiled,likou,,,,
buul,n,bola,ball / sphere,,,guul,,
guul,n,bola,ball / sphere,,,buul,,
molundu',n,berbentuk bola,spherical,lundu',,mobolugu',,
mobolugu',n,berbentuk bola,spherical,bulugu',,molundu',,
poiluok,n,cekung,concave,luok,,,,
poimburud,n,cembung,convex,burud,,,,
pialatan,n,di antara,"among, between",olot,,,,
do ribau,n,di atas,"on, above",ribau,,,,
do liputan,n,di keliling,around,liput,,,,
do doriwo,n,di bawah,below,doriwo,,,,
do sokitar,n,di sekitar,in the vicinity of,sokitar,,,,
do motiguangan,n,"di hadapan, di depan",in front,guang,,,,
do lalom,n,di dalam,inside,lalom,,,,
do solura',n,di luar,outside,solura',,,,
do gaad,,di dekat,near,gaad,,,,
do molikudan,n,di belakang,behind,likud,,,,
do sampaping,n,"di sebelah, di samping",beside,sampaping,,,,
do lambus,n,di balik sana,beyond,lambus,,,,
do tanga-tanga',n,di tengah,in the middle,tanga',,,,
do soborong,n,di seberang,across,soborong,,,,
poinggawad,n,sepanjang,along,gawad,,,,
mitupak,n,berhadapan dengan,opposite,tupak,,,,
ponong do idis / moidisan,n,sebelah kanan,right side,idis,,,,CHECK_LX
ponong do ibang / moibangan,n,sebelah kiri,left side,ibang,,,,CHECK_LX
situ',,di sini,here,,,,,
sino,,di situ,there (near),,,,,
sinu,,di sana,there (far),,,,,
ombo ianan,n,di mana,where,,,,,
warana',n,warna,color,,,,,
mopurak,n,putih,white,purak,,,,
moitom,n,hitam,black,itom,,,,
maria',n,merah,red,ria',,,,
motuo ria',n,merah tua,dark red,,"tuo, ria'",,,
momulok ria',n,merah muda,pink,,"mulok, ria'",,,
mosilou,n,kuning,yellow,silou,,,,
silou tuo,n,"jingga, kuning tua","orange, dark yellow",,"silou, tuo",,,
ungui,n,ungu,purple,,,,,
motomou,n,hijau,green,tomou,,,,
kulabu',n,"kelabu, abu-abu",gray,,,,,
sokulat,n,coklat,brown,,,,,
poingitom tomou,n,biru,blue,,"itom, tomou",,,
moitom,n,warna tua,dark color,itom,,,,
moitom-itom,n,warna muda,light color,itom,,,,
balang-balang,n,kotak-kotak,checkered,balang,,,,
kitaris,n,bergaris-garis,striped (horizontally),taris,,bataris-taris,,
bataris-taris,n,bergaris-garis,striped (horizontally),taris,,kitaris,,
songimbaris,n,berbaris-baris,striped (vertically),baris,,,,
botundok-tundok,n,berbintik-bintik,"spotted, blotched",tundok,,,,
mapasi',n,pucat,pale,pasi',,,,
malamog,n,licin,"smooth, slippery",lamog,,,,
makasar,,kasar,rough,kasar,,,,
motuyu',,bersih,clean,tuyu',,,,
majabut,,kotor,dirty,jabut,,,,
marata',,rata,flat,rata',,,,
bakatud-katud,n,tidak rata,bumpy,katud,,,,
maalus,n,halus,smooth (fine texture),alus,,,,
maladom,,tajam,sharp,ladom,,,,
mangalor,,tumpul,blunt,ngalor,,,,
kiabuk,n,berbulu,hairy,abuk,,kibulu,,
kibulu,n,berbulu,hairy,bulu,,kiabuk,,
malamog,n,"berlumpur, berlendir","slimy, muddy",lamog,,molosok,,
molosok,n,"berlumpur, berlendir","slimy, muddy",losok,,malamog,,
baalur,n,beralur,grooved,alur,,,,
maasa',,basah,wet,asa',,,,
makala',,kering,dry,kala',,,,
mokodou,,keras,hard,kodou,,,,
malami',,"lembut, lunak",soft,lami',,,,
moilou,n,berkilat-kilat,shiny,ilou,,mopuang,,
mopuang,n,berkilat-kilat,shiny,puang,,moilou,,
makabur,n,"tidak mengkilap, kabur","dull, blurry",kabur,,,,
morokot,n,"lengket, lekat",sticky,rokot,,,,
kidudui',n,berduri,"prickly, thorny",dui',,,,
nalayu,n,layu,withered,layu,,,,
nokurupong,n,berkerut,wrinkled,kurupong,,,,
nongkuradut,n,kisut,shriveled (old people),kuradut,,,,
nokolos,n,"susut, kecut",shrunk,kolos,,,,
nolonot,n,pudar,faded,lonot,,,,
poimbuka',,terbuka,open,buka',,poingukab,,
poingukab,,terbuka,open,ukab,,poimbuka',,
pointatap,n,tegang,"taut, tense",tatap,,,,
poingotos,n,tenang,calm,otos,,,,
maluag,n,kendur,"slack, loose",luag,,,,
poingaku',,kaku,stiff,kaku',,,,
maruoi mababak,n,mudah pecah,fragile,,"ruoi, babak",,,
matapu,n,mudah koyak / robek,easily torn,tapu,,,,
mataan,n,"kokoh, teguh",firm,taan,,,,
nokasangit,n,"tertancap, tersangkut","stuck, caught",sangit,,nokosokot,,
nokosokot,n,"tertancap, tersangkut","stuck, caught",sokot,,nokasangit,,
maluag,n,longgar,loose,luag,,malunggar,,
malunggar,n,longgar,loose,lunggar,,maluag,,
masampit,n,sempit,tight,sampit,,,,
mouyog,n,goyah,wobbly,uyog,,,,
mounggar,n,goyang,unsteady (shake),unggar,,,,
mokodou,n,padat,"solid, dense",kodou,,,,
makapal,,tebal,thick,kapal,,,,
muyog-muyog,n,bergoyang-goyang,unsteady (sway),uyog,,maya-waya',,
maya-waya',n,bergoyang-goyang,unsteady (sway),waya',,muyog-muyog,,
ramuk,n,utuh,intact,,,,,
nabinasa',n,rosak,"damaged, broken",binasa',,naputul,,
naputul,n,rosak,"damaged, broken",putul,,nabinasa',,
piok,n,penyok,dented,,,,,
nababak,n,pecah,broken (glass/ceramic),babak,,,,
naputul,n,patah,broken (long objects),putul,,,,
nopopor,n,reyot,falling to pieces,popor,,,,
binubukon,n,dimakan anai-anai,termite-eaten,bubuk,,,,
natutuban panggor,n,tertutup rapat,well-covered,,"tutub, panggor",,,
naabu,n,gembung,swollen,abu,,,,
nobuntung,n,busuk,"rotten, putrid",buntung,,,,
nounos,n,basi,stale,unos,,,,
kinulaton,n,berjamur,mouldy,kulat,,,,
tinogoron,n,berkarat,"rusty, corroded",togor,,,,
koiso suang,,kosong,empty,suang,,,,
napanu',,penuh,full,panu',,,,
noinsok,n,penuh sesak,jam-packed,insok,,,,
mogumu' ulun,n,ramai,full (of people),,"gumu', ulun",,,
pogoulon,n,campur,mixed together,,"goul, gaul",,,
malasu',n,panas,"hot, heat",lasu',,linasu',,
linasu',n,panas,"hot, heat",lasu',,malasu',,
malasu-lasu',n,hangat,warm,lasu',,,,
pomuradawan,n,"suam, hangat-hangat kuku",lukewarm,,,,,
mosimu',n,sejuk,"cool, fresh, chilly",simu',,,,
masarui,,dingin,cold,sarui,,,,
simuon,n,demam,"fever, feverish",simu',,sisimuon,,
sisimuon,n,demam,"fever, feverish",simu',,simuon,,
daraja,n,darjah,degree,,,,,
molok-golok,n,mendidih,boiling,golok,,,,
linasu',n,suhu,temperature,lasu',,,,
kumodou,,membeku,to freeze,kodou,,mimang baku,,
mimang baku,,membeku,to freeze,baku,,kumodou,,
sukup-sukup,n,sedang,temperate,sukup,,,,
musim mogodou,n,musim panas,summer (dry season),odou,,,,
musim mosimu',n,musim sejuk/dingin,winter (cool season),simu',,,,
mato odou,n,matahari,sun,,"mato, odou",,,
